"V1","V2"
"E8.5_CPC_p2_349",-27.4557456395773,-8.01071258546922
"E8.5_CPC_p2_291",-25.8508756069432,6.75201757730643
"E8.5_CPC_p2_010",-7.02446834559621,-22.3929175048429
"E8.5_CPC_p2_351",-7.86179274151821,-23.0563865741648
"E8.5_CPC_p2_265",-14.7247653889091,-5.36144772938328
"E8.5_CPC_p2_072",-4.03633872557667,-24.8707168489033
"E8.5_CPC_p2_089",-26.6520420026018,-6.48503678863795
"E8.5_CPC_p2_305",-4.11776404275245,-13.0246799606995
"E8.5_CPC_p2_283",-12.6507059092152,-25.2447811100561
"E8.5_CPC_p2_094",-16.0671238493966,-7.58301669754638
"E8.5_CPC_p2_050",-3.20488301170619,-13.3503256540905
"E8.5_CPC_p2_171",-19.4421969808744,-7.52327263337087
"E8.5_CPC_p2_079",-36.5984656416945,22.9160745482031
"E8.5_CPC_p2_016",42.8711815832883,2.1111694431225
"E8.5_CPC_p2_008",48.0065708139725,-2.90896444111818
"E8.5_CPC_p2_001",-27.4190561814873,1.76662584590501
"E8.5_CPC_p2_129",-26.4319539517473,-5.6982897684028
"E8.5_CPC_p2_248",14.8156306738122,13.3773664023525
"E8.5_CPC_p2_381",-21.1065184380029,0.660553843726904
"E8.5_CPC_p2_172",-18.0118150125117,-0.869952565024839
"E8.5_CPC_p2_259",35.989396176872,10.8614855548614
"E8.5_CPC_p2_274",-9.31933615325854,-11.3038810883806
"E8.5_CPC_p2_221",36.4822547423996,8.79489139862677
"E8.5_CPC_p2_183",30.1875497534997,27.2180844027391
"E8.5_CPC_p2_280",-14.2752768019981,-10.5614223140613
"E8.5_CPC_p2_162",27.7648666101277,18.5772879566331
"E8.5_CPC_p2_359",40.7786907182405,1.09427952656315
"E8.5_CPC_p2_290",-7.63676041010113,-15.1069256363154
"E8.5_CPC_p2_247",-34.272554473057,-3.13281116033629
"E8.5_CPC_p2_087",-20.9271223249937,-23.9494098395781
"E8.5_CPC_p2_245",-4.84175752155353,-21.71991078302
"E8.5_CPC_p2_200",-17.0294057917439,-32.3474178486514
"E8.5_CPC_p2_370",34.9502621432742,9.15207849207335
"E8.5_CPC_p2_096",-6.67070405883853,-14.028157119201
"E8.5_CPC_p2_197",-9.16784139234828,-21.5850703519286
"E8.5_CPC_p2_105",-24.3598949233067,-0.922555073720213
"E8.5_CPC_p2_382",30.8191746122716,27.0146293112984
"E8.5_CPC_p2_271",16.8315760461045,38.5635556432805
"E8.5_CPC_p2_276",31.5769031256225,28.317059662487
"E8.5_CPC_p2_201",-8.21574950730783,-12.890172903881
"E8.5_CPC_p2_345",-16.9708432124584,-23.3844374894678
"E8.5_CPC_p2_269",-21.0843433556743,1.81478948484068
"E8.5_CPC_p2_163",-16.3985369269309,-1.77788928294939
"E8.5_CPC_p2_150",-33.6175025712126,23.688848405726
"E8.5_CPC_p2_132",42.9456392798855,13.330817054713
"E8.5_CPC_p2_144",44.2635786971524,-5.74677263111159
"E8.5_CPC_p2_101",-7.21087261762883,-21.928382966215
"E8.5_CPC_p2_107",-12.5116880132171,-22.6599384684341
"E8.5_CPC_p2_193",-17.398654187542,-32.0879097542012
"E8.5_CPC_p2_083",50.5606403596262,3.63563367582736
"E8.5_CPC_p2_182",48.2631732105217,16.9400232905911
"E8.5_CPC_p2_328",36.9310918357986,11.2212566038235
"E8.5_CPC_p2_202",-20.3472866402566,-4.89357590009804
"E8.5_CPC_p2_012",34.1882109866629,12.4889115609824
"E8.5_CPC_p2_352",-17.6497299876929,-29.7531331896732
"E8.5_CPC_p2_051",45.3751197327405,15.4851935301651
