"V1","V2"
"E8.5_CPC_p2_069",-2.20022534304585,17.3201373370298
"E8.5_CPC_p2_266",-5.75374485076829,11.5106785605038
"E8.5_CPC_p2_123",-25.8887169817217,-18.3927178485768
"E8.5_CPC_p2_167",29.8154536700862,25.1351638380835
"E8.5_CPC_p2_056",-4.64818706556254,-21.2355313099153
"E8.5_CPC_p2_070",-7.08087847223329,0.155430944306155
"E8.5_CPC_p2_325",4.37759073056281,19.0311667573363
"E8.5_CPC_p2_300",-15.2143902596032,-23.9733240785295
"E8.5_CPC_p2_209",26.893341874448,18.3573892810558
"E8.5_CPC_p2_287",-14.6240277824772,10.5510409638269
"E8.5_CPC_p2_226",-5.59465435630061,2.37175308210022
"E8.5_CPC_p2_196",25.1359688846687,17.6664531820141
"E8.5_CPC_p2_299",-11.4460063053254,14.5493315612485
"E8.5_CPC_p2_277",1.14224033158088,18.4843185382749
"E8.5_CPC_p2_073",-3.97074112088771,19.0061674883714
"E8.5_CPC_p2_151",-21.9077215273007,-17.5780227237015
"E8.5_CPC_p2_080",-13.5222171547763,-18.0210562313389
"E8.5_CPC_p2_143",17.1032638490778,14.6265859488231
"E8.5_CPC_p2_281",3.58136085639526,16.7555796461144
"E8.5_CPC_p2_053",-11.5832797111929,-18.2758921594507
"E8.5_CPC_p2_379",43.0812928666762,3.14123380648933
"E8.5_CPC_p2_093",-32.9376094819097,-5.28569192940587
"E8.5_CPC_p2_104",-6.94446633641298,17.3316007740848
"E8.5_CPC_p2_045",48.6042291385737,3.64825069985236
"E8.5_CPC_p2_318",-15.4342351344682,-32.8941603181204
"E8.5_CPC_p2_013",20.1616360669151,22.6037612930636
"E8.5_CPC_p2_267",-29.1503445716314,-16.094624706275
"E8.5_CPC_p2_270",-16.3144793885642,-34.3930999465504
"E8.5_CPC_p2_035",-33.5596706876843,-4.70107520157458
"E8.5_CPC_p2_227",-3.5140382507927,-32.4570342985963
"E8.5_CPC_p2_313",-12.1651683580555,-37.5851765962415
"E8.5_CPC_p2_260",20.8932580379955,20.5320157435344
"E8.5_CPC_p2_075",-23.1199263394944,-15.96988965954
"E8.5_CPC_p2_038",-13.0093414207654,25.5086710158337
"E8.5_CPC_p2_164",10.6643005640927,21.6667568518146
