pop	depth	batch
4_5	0	2
4_5	0.00249376558603491	2
4_5	0.00498753117206983	1
4_5	0.00748129675810474	2
4_5	0.00997506234413965	1
4_5	0.0124688279301746	2
4_5	0.0149625935162095	2
4_5	0.0174563591022444	1
4_5	0.0199501246882793	1
4_5	0.0224438902743142	2
4_5	0.0249376558603491	1
4_5	0.027431421446384	2
4_5	0.029925187032419	1
4_5	0.0324189526184539	1
4_5	0.0349127182044888	1
4_5	0.0374064837905237	2
4_5	0.0399002493765586	1
4_5	0.0423940149625935	2
4_5	0.0448877805486284	2
4_5	0.0473815461346633	2
4_5	0.0498753117206983	1
4_5	0.0523690773067332	1
4_5	0.0548628428927681	2
4_5	0.057356608478803	2
4_5	0.0598503740648379	1
4_5	0.0623441396508728	1
4_5	0.0648379052369077	1
4_5	0.0673316708229426	2
4_5	0.0698254364089776	2
4_5	0.0723192019950125	1
4_5	0.0748129675810474	2
4_5	0.0773067331670823	1
4_5	0.0798004987531172	1
4_5	0.0822942643391521	1
4_5	0.084788029925187	2
4_5	0.0872817955112219	2
4_5	0.0897755610972569	2
4_5	0.0922693266832918	1
4_5	0.0947630922693267	1
4_5	0.0972568578553616	1
4_5	0.0997506234413965	1
4_5	0.102244389027431	1
4_5	0.104738154613466	1
4_5	0.107231920199501	1
4_5	0.109725685785536	2
4_5	0.112219451371571	1
4_5	0.114713216957606	1
4_5	0.117206982543641	2
4_5	0.119700748129676	2
4_5	0.122194513715711	1
4_5	0.124688279301746	2
4_5	0.127182044887781	1
4_5	0.129675810473815	1
4_5	0.13216957605985	1
4_5	0.134663341645885	1
4_5	0.13715710723192	1
4_5	0.139650872817955	2
4_5	0.14214463840399	2
4_5	0.144638403990025	1
4_5	0.14713216957606	2
4_5	0.149625935162095	2
4_5	0.15211970074813	1
4_5	0.154613466334165	2
4_5	0.157107231920199	2
4_5	0.159600997506234	2
4_5	0.162094763092269	2
4_5	0.164588528678304	2
4_5	0.167082294264339	2
4_5	0.169576059850374	2
4_5	0.172069825436409	2
4_5	0.174563591022444	2
4_5	0.177057356608479	1
4_5	0.179551122194514	1
4_5	0.182044887780549	2
4_5	0.184538653366584	1
4_5	0.187032418952618	1
4_5	0.189526184538653	2
4_5	0.192019950124688	2
4_5	0.194513715710723	1
4_5	0.197007481296758	2
4_5	0.199501246882793	2
4_5	0.201995012468828	1
4_5	0.204488778054863	2
4_5	0.206982543640898	1
4_5	0.209476309226933	2
4_5	0.211970074812968	1
4_5	0.214463840399002	2
4_5	0.216957605985037	2
4_5	0.219451371571072	1
4_5	0.221945137157107	1
4_5	0.224438902743142	1
4_5	0.226932668329177	2
4_5	0.229426433915212	2
4_5	0.231920199501247	2
4_5	0.234413965087282	1
4_5	0.236907730673317	2
4_5	0.239401496259352	1
4_5	0.241895261845387	1
4_5	0.244389027431421	2
4_5	0.246882793017456	1
4_5	0.249376558603491	1
4_5	0.251870324189526	2
4_5	0.254364089775561	2
4_5	0.256857855361596	1
4_5	0.259351620947631	1
4_5	0.261845386533666	2
4_5	0.264339152119701	2
4_5	0.266832917705736	2
4_5	0.269326683291771	1
4_5	0.271820448877805	2
4_5	0.27431421446384	2
4_5	0.276807980049875	2
