"Cell","Background","Timepoint","X3_prime_bias","aligned_to_genes","intergenic","exonic","X5_prime_bias","secondaryalignments","readsaligned","totalalignments","non_uniquealignments","intronic","percent_genes","is.sc","is.neg.ctrl","is.pos.ctrl","Platform","total_counts","log10_total_counts","filter_on_total_counts","total_features","log10_total_features","filter_on_total_features","pct_dropout","exprs_feature_controls_mito","pct_exprs_feature_controls_mito","filter_on_pct_exprs_feature_controls_mito","counts_feature_controls_mito","pct_counts_feature_controls_mito","filter_on_pct_counts_feature_controls_mito","tpm_feature_controls_mito","pct_tpm_feature_controls_mito","filter_on_pct_tpm_feature_controls_mito","n_detected_feature_controls_mito","exprs_feature_controls_housekeeping","pct_exprs_feature_controls_housekeeping","filter_on_pct_exprs_feature_controls_housekeeping","counts_feature_controls_housekeeping","pct_counts_feature_controls_housekeeping","filter_on_pct_counts_feature_controls_housekeeping","tpm_feature_controls_housekeeping","pct_tpm_feature_controls_housekeeping","filter_on_pct_tpm_feature_controls_housekeeping","n_detected_feature_controls_housekeeping","log10_counts_feature_controls_mito","log10_tpm_feature_controls_mito","log10_counts_feature_controls_housekeeping","log10_tpm_feature_controls_housekeeping","qc.exclude","n_detected_feature_controls","counts_feature_controls","pct_counts_feature_controls","filter_on_pct_counts_feature_controls","pct_counts_top_50_features","pct_counts_top_100_features","pct_counts_top_200_features","pct_counts_top_500_features","pct_counts_top_50_endogenous_features","pct_counts_top_100_endogenous_features","pct_counts_top_200_endogenous_features","pct_counts_top_500_endogenous_features","tpm_feature_controls","pct_tpm_feature_controls","filter_on_pct_tpm_feature_controls","pct_tpm_top_50_features","pct_tpm_top_100_features","pct_tpm_top_200_features","pct_tpm_top_500_features","pct_tpm_top_50_endogenous_features","pct_tpm_top_100_endogenous_features","pct_tpm_top_200_endogenous_features","pct_tpm_top_500_endogenous_features","counts_endogenous_features","tpm_endogenous_features","log10_counts_feature_controls","log10_tpm_feature_controls","log10_counts_endogenous_features","log10_tpm_endogenous_features","is_cell_control","cellcycle","cluster","tsne1","tsne2","dpt","dm1","dm2","dm3"
"c1run1_20_X_isl1.e8.5","c1run1_20_X_isl1-e8.5","isl1","e8.5",0.52,1017624,828581,1017624,0.63,984756,3379779,4364535,1462924,1047532,30.1091876125628,TRUE,FALSE,FALSE,"C1",2396243.63,6.37953097139075,FALSE,176,2.24551266781415,FALSE,98.5397826267319,136.924194852067,0.326288078124741,FALSE,32945.72,1.36720021542073,FALSE,143.44200397442,0.3954009939553,FALSE,9,12.1990995278491,0.0290702512006354,FALSE,7543.47,0.313043205885918,FALSE,11.9876015490097,0.0330440835758529,FALSE,1,4.51781218503609,2.1596935051563,3.87762873593929,1.11352895629206,FALSE,0,0,0,FALSE,20.3427153189761,28.4949494054576,38.3035785054961,54.6094860145752,20.3427153189761,28.4949494054576,38.3035785054961,54.6094860145752,0,0,FALSE,1.77468168452576,3.39422792676779,6.41061919848451,14.4589732480534,1.77468168452576,3.39422792676779,6.41061919848451,14.4589732480534,2396243.63,33904.9884214145,0,0,6.37953115263042,4.53027640937397,FALSE,"S",2,23.8593209451333,-9.06989539319164,0.16217316575747,-0.0344997069725132,0.0155297299682909,0.0221145609452825
"c1run1_21_X_isl1.e8.5","c1run1_21_X_isl1-e8.5","isl1","e8.5",0.46,1899086,1361666,1899086,0.66,1627273,5431278,7058551,2430282,1351772,34.9657299810468,TRUE,FALSE,FALSE,"C1",4429785.86,6.64638273252822,FALSE,177,2.24797326636181,FALSE,98.5314859371111,134.327227995467,0.324344922816086,FALSE,51839.88,1.1666787775886,FALSE,146.653722519219,0.40723105354341,FALSE,8,12.4052637073333,0.029953601810379,FALSE,16046.89,0.361142155601029,FALSE,12.2006840847299,0.0338791088860615,FALSE,1,4.71467236508284,2.16924440049972,4.20541793882211,1.12059643776079,FALSE,0,0,0,FALSE,19.8982320558493,27.8413794476287,37.6784903999852,53.5818309285045,19.8982320558493,27.8413794476287,37.6784903999852,53.5818309285045,0,0,FALSE,1.77287155816282,3.39340033724395,6.40202206039355,14.4511436845454,1.77287155816282,3.39340033724395,6.40202206039355,14.4511436845454,4429785.86,33853.3191131551,0,0,6.64638283056782,4.52961408357804,FALSE,"G1",5,11.9192228502645,24.8205147236485,0.0152496482052678,0.0359040510528433,0.0767213441131689,-0.150453460149364
"c1run1_22_X_isl1.e8.5","c1run1_22_X_isl1-e8.5","isl1","e8.5",0.5,1148669,1139602,1148669,0.67,1333476,4731032,6064508,2027695,1739887,24.2794595344103,TRUE,FALSE,FALSE,"C1",2792839.5,6.44604597821185,FALSE,162,2.20951501454263,FALSE,98.6559362814237,180.188693273399,0.449173703848891,FALSE,189848.84,6.74747102547689,FALSE,186.892991456449,0.557565556261464,FALSE,15,11.6911711319486,0.0291437078779451,FALSE,6193.42,0.22012208238201,FALSE,11.2954073545565,0.0336980538208716,FALSE,1,5.27841023546504,2.2739105809065,3.79200064846967,1.08974292176164,FALSE,0,0,0,FALSE,24.7158427829455,32.736642044772,42.4814999214956,58.006401012303,24.7158427829455,32.736642044772,42.4814999214956,58.006401012303,0,0,FALSE,2.00555614220853,3.78526910097142,7.09385671303312,15.8495029708313,2.00555614220853,3.78526910097142,7.09385671303312,15.8495029708313,2792839.5,30639.7826538279,0,0,6.44604613371467,4.48629985423399,FALSE,"G1",4,-25.2007197658987,-0.645648661607503,0.0878290258401715,0.0303023487171788,0.00216262529635352,0.0390691274734802
"c1run1_24_X_isl1.e8.5","c1run1_24_X_isl1-e8.5","isl1","e8.5",0.49,2552474,1896456,2552474,0.59,2257788,7855443,10113231,3381580,2266137,32.4930624536388,TRUE,FALSE,FALSE,"C1",6001153.66,6.778234747052,FALSE,181,2.25767857486918,FALSE,98.4982991786277,153.246469195971,0.386956788215392,FALSE,118177.81,1.95988856342752,FALSE,163.889106680982,0.476985099991066,FALSE,11,12.3618778126202,0.0312145040585928,FALSE,21130.99,0.350441302262254,FALSE,12.1259170988308,0.0352914351478393,FALSE,1,5.07253961254299,2.21719196513749,4.32494039649977,1.11812965699587,FALSE,0,0,0,FALSE,20.5755669652358,28.6592339980177,38.9972455729454,55.5006806807877,20.5755669652358,28.6592339980177,38.9972455729454,55.5006806807877,0,0,FALSE,1.87802676115813,3.58727552695924,6.7774323226623,15.3006091502559,1.87802676115813,3.58727552695924,6.7774323226623,15.3006091502559,6001153.66,32102.0535473045,0,0,6.7782348194205,4.50654634317351,FALSE,"S",NA,21.1430612582663,23.3662861105656,0.0373804741355134,0.0304523115062139,0.0554046187829053,-0.104225871424743
"c1run1_27_X_isl1.e8.5","c1run1_27_X_isl1-e8.5","isl1","e8.5",0.44,1770204,1381027,1770204,0.62,1323589,5986725,7310314,1998885,2146798,29.568821016499,TRUE,FALSE,FALSE,"C1",4059957.9,6.6085215301554,FALSE,172,2.23552844690755,FALSE,98.5729693852153,140.772211571341,0.371632448595581,FALSE,61808.06,1.51523069892071,FALSE,155.574452304649,0.461087436218279,FALSE,9,11.4414191654852,0.0302048435015375,FALSE,7551.31,0.185121110888563,FALSE,11.3563914439885,0.0336577718129842,FALSE,1,4.79105213883665,2.19472090121968,3.87807980816054,1.09189165806834,FALSE,0,0,0,FALSE,21.9534515370221,29.982432576456,39.9813333039734,57.157131604739,21.9534515370221,29.982432576456,39.9813333039734,57.157131604739,0,0,FALSE,1.89018136036008,3.62243654045355,6.84806443779725,15.6045612536322,1.89018136036008,3.62243654045355,6.84806443779725,15.6045612536322,4059957.9,31507.2223183567,0,0,6.60852163712558,4.49842390113951,FALSE,"G1",NA,17.789537694185,10.3132723555204,0.124467923533716,-0.0160678179858592,0.0264493140381044,-0.0167534255536161
"c1run1_28_X_isl1.e8.5","c1run1_28_X_isl1-e8.5","isl1","e8.5",0.56,1003131,770486,1003131,0.59,1008243,3414288,4422531,1504499,1136659,29.3803861888628,TRUE,FALSE,FALSE,"C1",2355944.96,6.3721651401696,FALSE,178,2.25042000230889,FALSE,98.5231892474903,162.998632472015,0.373909713241371,FALSE,74064.68,3.12757972866054,FALSE,169.963781843232,0.463468265309461,FALSE,13,12.5073630791839,0.0286911888242148,FALSE,9179.55,0.387631115104067,FALSE,12.1732680024292,0.0331948568280089,FALSE,1,4.86961701446561,2.23290411617216,3.96286870024371,1.11969352738104,FALSE,0,0,0,FALSE,20.0779796655352,28.0664218063906,38.0585177168146,54.4531961391832,20.0779796655352,28.0664218063906,38.0585177168146,54.4531961391832,0,0,FALSE,1.75863872722636,3.37659273761342,6.37511327897005,14.3159696864928,1.75863872722636,3.37659273761342,6.37511327897005,14.3159696864928,2355944.96,34244.0083885753,0,0,6.37216532450939,4.53459727692967,FALSE,"G1",5,12.4823730156404,19.1359174178639,0.0521195452552688,0.0244197531447872,0.00298559009509206,-0.081914853177051
"c1run1_29_X_isl1.e8.5","c1run1_29_X_isl1-e8.5","isl1","e8.5",0.5,2797868,2118000,2797868,0.63,2842739,7904411,10747150,4219320,1584492,35.3962869592687,TRUE,FALSE,FALSE,"C1",6666717.42,6.82391204721562,FALSE,180,2.25527250510331,FALSE,98.5065958682486,137.046368781817,0.342976579985556,FALSE,98908.95,1.47778576432023,FALSE,149.164966400851,0.434210029720686,FALSE,8,12.0943637611814,0.0302677375313398,FALSE,19484.66,0.291117772159343,FALSE,11.8014941613995,0.0343534226180108,FALSE,1,4.99523998232253,2.17656862325751,4.2897151203932,1.10726066247443,FALSE,0,0,0,FALSE,20.3787860563018,28.6666840605343,38.7706915887249,55.2724592607676,20.3787860563018,28.6666840605343,38.7706915887249,55.2724592607676,0,0,FALSE,1.87006140260288,3.59418641415583,6.79874220343853,15.320362079684,1.87006140260288,3.59418641415583,6.79874220343853,15.320362079684,6666717.42,32090.2391876701,0,0,6.8239121123593,4.50638648749053,FALSE,"G2M",NA,8.25491476128648,4.35045819688643,0.0843936884574623,0.0204348744898958,0.0256439008165152,0.0142153524419286
"c1run1_30_X_isl1.e8.5","c1run1_30_X_isl1-e8.5","isl1","e8.5",0.49,2792157,1924271,2792157,0.59,2517188,7408922,9926110,3748113,1441941,37.6864137589787,TRUE,FALSE,FALSE,"C1",6558456.41,6.81680163640277,FALSE,175,2.24303804868629,FALSE,98.5480793163528,138.86987106229,0.33600709632163,FALSE,86269.51,1.31145289869335,FALSE,152.951253448742,0.426190482508027,FALSE,8,12.3703282221222,0.0299310284849072,FALSE,23188.05,0.352500383826758,FALSE,12.1652995929204,0.0338979562864388,FALSE,1,4.9358623654371,2.18738322921619,4.36528295699465,1.1194307464707,FALSE,0,0,0,FALSE,19.9970764157293,27.7395930729377,37.6906545605904,54.4463296966549,19.9970764157293,27.7395930729377,37.6906545605904,54.4463296966549,0,0,FALSE,1.76648303177039,3.39246729210697,6.40773125595386,14.5112860235256,1.76648303177039,3.39246729210697,6.40773125595386,14.5112860235256,6558456.41,33841.5104552283,0,0,6.81680170262177,4.52946257175508,FALSE,"G2M",5,11.6551344959987,32.5695340901231,0.0488557416016967,0.0324364086464797,0.0486517448963131,-0.0643631807931928
"c1run1_31_X_isl1.e8.5","c1run1_31_X_isl1-e8.5","isl1","e8.5",0.5,1777197,1414695,1777197,0.6,1520316,5791725,7312041,2274531,1833347,30.6851067687088,TRUE,FALSE,FALSE,"C1",4126930.73,6.61562717936173,FALSE,170,2.23044892137827,FALSE,98.589562764457,133.033610989002,0.301089162382804,FALSE,41639.62,1.0031742926272,FALSE,145.498406988065,0.376708242396653,FALSE,7,11.5718764873552,0.026190122728181,FALSE,8411.46,0.202647392926784,FALSE,11.4336793228056,0.0296028068690427,FALSE,1,4.61951718723077,2.16583290223242,3.92492301223107,1.09459966228162,FALSE,0,0,0,FALSE,20.9980585256879,28.8788193447579,38.9713107687659,54.1541946355857,20.9980585256879,28.8788193447579,38.9713107687659,54.1541946355857,0,0,FALSE,1.66656712067419,3.19004045545323,6.02548445878397,13.6054977634689,1.66656712067419,3.19004045545323,6.02548445878397,13.6054977634689,4126930.73,35873.6181212254,0,0,6.61562728459597,4.55478728678101,FALSE,"G2M",4,1.9693161393377,5.53556202203249,0.0806761339292401,0.0267226379370246,-0.0013130349177123,0.0136590787613976
"c1run1_33_X_isl1.e8.5","c1run1_33_X_isl1-e8.5","isl1","e8.5",0.49,1846183,1438638,1846183,0.63,1738208,5860932,7599140,2599171,1697934,31.4998194826352,TRUE,FALSE,FALSE,"C1",4327883.95,6.63627560686969,FALSE,173,2.2380461031288,FALSE,98.5646726955945,158.843427161943,0.392848290835525,FALSE,118135.61,2.7080308667666,FALSE,174.025030399204,0.497816531173959,FALSE,10,12.1493455010187,0.0300475109365368,FALSE,13193.22,0.302429106617746,FALSE,11.9315390226272,0.0341313968122035,FALSE,1,5.07238450436316,2.24310016175438,4.12038372121703,1.11165021469164,FALSE,0,0,0,FALSE,21.6777055678676,30.3461045899809,40.2223564705333,56.0619299877483,21.6777055678676,30.3461045899809,40.2223564705333,56.0619299877483,0,0,FALSE,1.86346285010347,3.55818212449312,6.70543312745518,15.0844488546535,1.86346285010347,3.55818212449312,6.70543312745518,15.0844488546535,4327883.95,32479.4673486597,0,0,6.63627570721768,4.51162226950645,FALSE,"G1",1,-4.10547550079904,30.6867883289155,0.110774392008266,0.0335443762151785,-0.340848993535639,-0.0815750271458209
